Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
pesabazaar.com's Seed Round,https://www.crunchbase.com/funding-round/3e98ab11cf9e8ddb293cae5410cbc5da,pesabazaar.com,https://www.crunchbase.com/organization/pesabazaar-com,Seed,"$396,000",04/13/2016,,
Metromile's Series C,https://www.crunchbase.com/funding-round/0df043695acb75afbc34e04199858f2d,Metromile,https://www.crunchbase.com/organization/metromile,Series C,"$38,400,000",11/01/2014,,
Yepstr's Venture Round,https://www.crunchbase.com/funding-round/24ebd7a030e2124717543399006705c2,Yepstr,https://www.crunchbase.com/organization/yepstr,Series Unknown,"$845,000",05/23/2016,,
Yangche Diandian's Series A,https://www.crunchbase.com/funding-round/d993accc810e3272c993131d0faa9647,Yangche Diandian,https://www.crunchbase.com/organization/yangche-diandian,Series A,,11/17/2014,1,
advisorCONNECT's Convertible Note,https://www.crunchbase.com/funding-round/bd33fb6ed3156a3f1405e7a32e49df59,advisorCONNECT,https://www.crunchbase.com/organization/advisorconnect,Convertible Note,"$150,000",02/12/2016,1,
Serious Social Media's Seed Round,https://www.crunchbase.com/funding-round/6e55891e5c404a9dd5ba2b26f4af55cd,Serious Social Media,https://www.crunchbase.com/organization/serious-social-media,Seed,"$40,000",02/10/2016,1,
Aureus Analytics' Non Equity Assistance,https://www.crunchbase.com/funding-round/784b7794387a1e4bfc08157d6d65035e,Aureus Analytics,https://www.crunchbase.com/organization/aureus-analytics,Non-equity Assistance,,02/22/2016,1,
HoneyInsured's Grant,https://www.crunchbase.com/funding-round/4e133d8472efd5ea9d1bf6822b0cedec,HoneyInsured,https://www.crunchbase.com/organization/honeyinsured,Grant,"$100,000",01/01/2015,1,
The Zebra's Seed Round,https://www.crunchbase.com/funding-round/cd1e08beb1ba3e6b9722ee4054037c20,The Zebra,https://www.crunchbase.com/organization/the-zebra,Seed,,06/10/2012,1,
Fixt's Seed Round,https://www.crunchbase.com/funding-round/2f88e728015a04b318d8da5a1b44a1b2,Fixt,https://www.crunchbase.com/organization/peachme,Seed,,08/21/2015,1,
HoneyInsured's Grant,https://www.crunchbase.com/funding-round/b4f9a9f6507a1af505193ec9852a5424,HoneyInsured,https://www.crunchbase.com/organization/honeyinsured,Grant,"$12,000",10/22/2015,1,
Root Insurance's Seed Round,https://www.crunchbase.com/funding-round/3d0169c06ed5eef535f341a25b826a23,Root Insurance,https://www.crunchbase.com/organization/rootinsurance,Seed,"$5,000,000",03/01/2016,1,
Abaris' Angel Round,https://www.crunchbase.com/funding-round/10cb1252dbb10f1db722611f9e1bb29f,Abaris,https://www.crunchbase.com/organization/abaris,Angel,"$470,000",07/24/2014,1,
Pristine's Debt Financing,https://www.crunchbase.com/funding-round/e206e61821054f4ea10a77cf6d49f4e7,Pristine,https://www.crunchbase.com/organization/pristine-io,Debt Financing,"$518,126",08/08/2016,,
Cloud Your Car's Seed Round,https://www.crunchbase.com/funding-round/4f6ffb4e934e4698120c66f40fcb3a11,Cloud Your Car,https://www.crunchbase.com/organization/cloud-your-car,Seed,,12/20/2015,1,
Yangche Diandian's Series C,https://www.crunchbase.com/funding-round/56e3fa1618ad48e2585021311f775e4e,Yangche Diandian,https://www.crunchbase.com/organization/yangche-diandian,Series C,"$60,000,000",07/07/2015,1,
Verisart's Seed Round,https://www.crunchbase.com/funding-round/239b346eb84dfaf4791fa5ac2eed710f,Verisart,https://www.crunchbase.com/organization/verisart,Seed,,07/01/2015,1,
INZMO's Seed Round,https://www.crunchbase.com/funding-round/86ebfd16e6e6c6e482c7321bb2e7e93a,INZMO,https://www.crunchbase.com/organization/inzmo,Seed,"$125,000",09/09/2016,1,
Schedule it's Seed Round,https://www.crunchbase.com/funding-round/d92c746bf0516b2b9a6b5d44a33c314d,Schedule it,https://www.crunchbase.com/organization/schedule-it,Seed,"$15,000",03/01/2015,1,
BlueStone Securities' Angel Round,https://www.crunchbase.com/funding-round/c4a375eae4271e9d516036f30a5d24dc,BlueStone Securities,https://www.crunchbase.com/organization/bluestone-securities,Angel,"$1,000,000",03/15/2015,1,
PRX Control Solutions' Grant,https://www.crunchbase.com/funding-round/b13e64ba365c4a394f96494498a54dc3,PRX Control Solutions,https://www.crunchbase.com/organization/prx-consulting,Grant,"$25,000",01/23/2013,1,
Dynamis Software's Venture Round,https://www.crunchbase.com/funding-round/c3461921bbc41eb549d0700afdf34cdc,Dynamis Software,https://www.crunchbase.com/organization/dynamis-software,Series Unknown,"$529,071",05/01/2016,,
Agentrun's Seed Round,https://www.crunchbase.com/funding-round/a369b7a5fb2c927f2a310cda5a5af188,Agentrun,https://www.crunchbase.com/organization/agentrun,Seed,,05/19/2013,1,
Isaac Reinsurance Group's Seed Round,https://www.crunchbase.com/funding-round/645a4980b0c0e6ed7c7dbdc6afdc495a,Isaac Reinsurance Group,https://www.crunchbase.com/organization/isaac-reinsurance-group,Seed,"$40,000",02/10/2016,1,
Yangche Diandian's Series B,https://www.crunchbase.com/funding-round/23f436ad639945a9f8d3778b7d37573b,Yangche Diandian,https://www.crunchbase.com/organization/yangche-diandian,Series B,"$15,000,000",12/15/2014,1,
Founder Shield's Venture Round,https://www.crunchbase.com/funding-round/90cd29f570c2406a54455852aeb99dd3,Founder Shield,https://www.crunchbase.com/organization/founder-shield,Series Unknown,,01/01/2012,1,
Metromile's Series A,https://www.crunchbase.com/funding-round/35a39d626081d5e293b2b654853c9da7,Metromile,https://www.crunchbase.com/organization/metromile,Series A,,06/01/2011,1,
massUp's Seed Round,https://www.crunchbase.com/funding-round/0af641f0636b8f71fdba13daade2ab66,massUp,https://www.crunchbase.com/organization/massup,Seed,"€15,000",12/08/2015,1,
Sealed's Non Equity Assistance,https://www.crunchbase.com/funding-round/169638222755e9c9507a1b6774349097,Sealed,https://www.crunchbase.com/organization/sealed,Non-equity Assistance,,10/01/2014,1,
Metafused's Seed Round,https://www.crunchbase.com/funding-round/aaff840cbe31b9c880773e7b70ec0eb6,Metafused,https://www.crunchbase.com/organization/metafused,Seed,"$300,000",08/21/2015,1,
Metafused's Grant,https://www.crunchbase.com/funding-round/11033240a3320769fc47be53951f0224,Metafused,https://www.crunchbase.com/organization/metafused,Grant,"$400,000",03/09/2014,,
Sealed's Convertible Note,https://www.crunchbase.com/funding-round/1bc1dbc1894e56ff983fde77adc716dc,Sealed,https://www.crunchbase.com/organization/sealed,Convertible Note,"$643,000",06/15/2015,,
Corax's Seed Round,https://www.crunchbase.com/funding-round/42143fb53acc3dff39e3137911707441,Corax,https://www.crunchbase.com/organization/corax-cyber-security,Seed,"$950,000",09/30/2016,,
rethink's Seed Round,https://www.crunchbase.com/funding-round/00682d132d60419a9eb0ea471bab3d55,rethink,https://www.crunchbase.com/organization/rethink-3,Seed,"$765,000",12/01/2014,,
Abaris' Angel Round,https://www.crunchbase.com/funding-round/e66b861feaa5dc6213211f0a43d8883d,Abaris,https://www.crunchbase.com/organization/abaris,Angel,"$250,000",10/20/2015,,
Corax's Seed Round,https://www.crunchbase.com/funding-round/c95e1e66e696c07a7950e900b75963d6,Corax,https://www.crunchbase.com/organization/corax-cyber-security,Seed,"$900,000",05/31/2015,,
Ouistock's Seed Round,https://www.crunchbase.com/funding-round/ef99f50d57983d69f344f3a77e5485c9,Ouistock,https://www.crunchbase.com/organization/ouistock,Seed,"€600,000",06/15/2015,,
Impact Health's Convertible Note,https://www.crunchbase.com/funding-round/82246fa1e6c919670c4290ad4bdaca1c,Impact Health,https://www.crunchbase.com/organization/impact-health,Convertible Note,"$105,000",11/20/2014,,
INZMO's Seed Round,https://www.crunchbase.com/funding-round/2fc5a9c047cf48eb9bd1e256e3557256,INZMO,https://www.crunchbase.com/organization/inzmo,Seed,"€235,000",01/01/2016,,
Simplesurance GmbH's Series A,https://www.crunchbase.com/funding-round/3493470652945748903d16772a35a905,Simplesurance GmbH,https://www.crunchbase.com/organization/simplesurance,Series A,,06/19/2013,,
Corax's Seed Round,https://www.crunchbase.com/funding-round/60ce3f2a8e592431e82a94426285aa1e,Corax,https://www.crunchbase.com/organization/corax-cyber-security,Seed,"$1,585,000",12/31/2015,,
PRX Control Solutions' Convertible Note,https://www.crunchbase.com/funding-round/7674ccb8cb50327c0362f7289eaff3d8,PRX Control Solutions,https://www.crunchbase.com/organization/prx-consulting,Convertible Note,"$20,000",10/01/2015,,"$1,820,000"
PRX Control Solutions' Seed Round,https://www.crunchbase.com/funding-round/fdbe9e9392159ccc67348a75f1fa5e71,PRX Control Solutions,https://www.crunchbase.com/organization/prx-consulting,Seed,"$50,000",01/15/2012,,
Metafused's Angel Round,https://www.crunchbase.com/funding-round/928285d872166112372abd20b26ea5ec,Metafused,https://www.crunchbase.com/organization/metafused,Angel,,06/01/2013,,
pesabazaar.com's Seed Round,https://www.crunchbase.com/funding-round/fa4d7f622125e571b1298a73d9496333,pesabazaar.com,https://www.crunchbase.com/organization/pesabazaar-com,Seed,"$25,000",04/07/2014,,
Insurance Market Pte Ltd's Seed Round,https://www.crunchbase.com/funding-round/2a9404ff5e507b91c8515b68b585ca92,Insurance Market Pte Ltd,https://www.crunchbase.com/organization/insurance-market-pte-ltd,Seed,"$300,000",01/31/2016,,"$4,211,600"
Sealed's Convertible Note,https://www.crunchbase.com/funding-round/1c0a1658a6396c768417d6da31313d3b,Sealed,https://www.crunchbase.com/organization/sealed,Convertible Note,"$200,000",02/15/2014,,
Sealed's Convertible Note,https://www.crunchbase.com/funding-round/c6b05fe7be33badfb726f21d961cfad3,Sealed,https://www.crunchbase.com/organization/sealed,Convertible Note,"$335,000",07/15/2014,,
Cloud Your Car's Seed Round,https://www.crunchbase.com/funding-round/4f0bc32285dc5e6a2a53ffa40b8ffad9,Cloud Your Car,https://www.crunchbase.com/organization/cloud-your-car,Seed,"$150,000",05/01/2015,,
Metafused's Angel Round,https://www.crunchbase.com/funding-round/70fbb5b5cfa926cf5371a1733d5efc2b,Metafused,https://www.crunchbase.com/organization/metafused,Angel,,04/01/2014,,
Insurance Market Pte Ltd's Seed Round,https://www.crunchbase.com/funding-round/9f547578374a918df4bd202b81196411,Insurance Market Pte Ltd,https://www.crunchbase.com/organization/insurance-market-pte-ltd,Seed,"$350,000",01/15/2015,,"$2,252,517"
Insurance Market Pte Ltd's Seed Round,https://www.crunchbase.com/funding-round/c8c5d83efd6cbc3ee1bd118b168b8856,Insurance Market Pte Ltd,https://www.crunchbase.com/organization/insurance-market-pte-ltd,Seed,"$300,000",06/01/2014,,"$478,381"
ConfiaNet's Seed Round,https://www.crunchbase.com/funding-round/db886c452170beaff5309f7b816973ca,ConfiaNet,https://www.crunchbase.com/organization/confianet,Seed,"$700,000",12/12/2014,,
UrbanStat's Seed Round,https://www.crunchbase.com/funding-round/48389dc534862456a7675391cc992f45,UrbanStat,https://www.crunchbase.com/organization/urbanstat,Seed,"$100,000",02/01/2016,,"$4,000,000"
BellaDati's Series A,https://www.crunchbase.com/funding-round/76716aa89292db16848a4bc1b2dfd9e8,BellaDati,https://www.crunchbase.com/organization/belladati,Series A,"$3,000,000",12/15/2012,,
Driveway's Angel Round,https://www.crunchbase.com/funding-round/0da10e57a5d2b079d8007960985cceb8,Driveway,https://www.crunchbase.com/organization/driveway-software,Angel,"$325,000",07/30/2012,,"$1,800,000"
