Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
FocalCast's Seed Round,https://www.crunchbase.com/funding-round/d87ef6c5bfcf8db55f0b7422d68e9658,FocalCast,https://www.crunchbase.com/organization/focalcast,Seed,"$500,000",03/18/2016,5,
Baobao's Series B,https://www.crunchbase.com/funding-round/52fc642b6f8b8898f51214637a0bc6d3,Baobao,https://www.crunchbase.com/organization/baobao,Series B,"$15,000,000",07/20/2016,4,
Punch!'s Seed Round,https://www.crunchbase.com/funding-round/64af548fd124683109de0460068624d4,Punch!,https://www.crunchbase.com/organization/punch,Seed,"$2,200,000",06/01/2011,4,
WalkMe's Series B,https://www.crunchbase.com/funding-round/b93eea30470a02649e1b682783e097ff,WalkMe,https://www.crunchbase.com/organization/walkme,Series B,"$5,500,000",10/25/2012,3,
ChoreMonster's Seed Round,https://www.crunchbase.com/funding-round/2566f2767e3ad156ef18ed6fee7b395b,ChoreMonster,https://www.crunchbase.com/organization/choremonster,Seed,"$775,000",12/31/2012,3,
ticckle's Angel Round,https://www.crunchbase.com/funding-round/c47046b0909d6adc03b989fa187ab7da,ticckle,https://www.crunchbase.com/organization/ticckle,Angel,,03/10/2013,4,
Oomba's Debt Financing,https://www.crunchbase.com/funding-round/c4c3c2fb5e07423a1366c050cd7e3250,Oomba,https://www.crunchbase.com/organization/oomba,Debt Financing,"$1,250,000",10/31/2013,3,"$29,739,100"
Genesis Media's Series B,https://www.crunchbase.com/funding-round/629c686741ca686af7b178dcfda9c834,Genesis Media,https://www.crunchbase.com/organization/genesis-media-llc,Series B,"$10,000,000",04/10/2014,3,
Rapt Media's Venture Round,https://www.crunchbase.com/funding-round/5acc5b27df427653bf3b0e9d18f576ee,Rapt Media,https://www.crunchbase.com/organization/rapt-media,Series Unknown,"$3,100,000",08/06/2014,2,
ReaLync's Seed Round,https://www.crunchbase.com/funding-round/3f79e70aec2335ed2760a0afe23bfad7,ReaLync,https://www.crunchbase.com/organization/realync,Seed,"$300,000",08/28/2014,3,
